Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Crq3yX0pUdMaFAd3t60gH,"Chrome Hearts","Lost In You","JON VINYL",2021-10-01,81584,38,false,,2023-09-17T19:22:46Z,"","Vinyl Recordings, Inc.",0.646,0.191,2,-14.375,1,0.0434,0.864,0,0.114,0.448,95.139,4
spotify:track:6WzRpISELf3YglGAh7TXcG,"Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)","Popular (Music from the HBO Original Series)","The Weeknd;Playboi Carti;Madonna",2023-06-02,215466,82,true,,2023-09-17T17:04:14Z,"rage rap","XO / Republic Records",0.854,0.674,1,-6.23,1,0.184,0.0517,0.0000853,0.509,0.848,99.022,4
spotify:track:5Ravsw8TmHN5wBiYPPYUFw,"Right Now (Na Na Na)","Freedom","Akon",2008-01-01,240746,81,false,,2023-08-24T04:46:22Z,"","Konvict/Upfront/SRC/Universal Records",0.829,0.857,8,-4.194,0,0.152,0.26,0,0.415,0.586,137.979,4
spotify:track:6ekXhxSuvpfGi7xR99Whzd,"Scared 2 Be Lonely","222","Lil Tjay",2023-07-14,182145,55,true,,2023-08-14T17:47:21Z,"brooklyn drill,melodic rap","Columbia",0.788,0.482,1,-6.708,0,0.043,0.0639,0.0000246,0.294,0.0693,129.976,4
spotify:track:5JtvedSVWW9McnoEAPJwQm,"Sex Sounds","True 2 Myself","Lil Tjay",2019-10-11,162453,74,true,,2023-08-10T06:13:55Z,"brooklyn drill,melodic rap","Columbia",0.857,0.427,8,-8.638,1,0.112,0.281,0,0.108,0.366,130.033,4
spotify:track:5rZlwNFl01HqLWBQGryKSm,"Mood Swings (feat. Lil Tjay)","Shoot For The Stars Aim For The Moon","Pop Smoke;Lil Tjay",2020-07-03,213333,70,true,,2023-08-10T06:13:49Z,"brooklyn drill,new york drill,drill,melodic rap","Victor Victor Worldwide",0.48,0.602,10,-6.335,0,0.368,0.487,0,0.0848,0.269,179.798,4
spotify:track:3B54sVLJ402zGa6Xm4YGNe,"Unforgettable","Jungle Rules","French Montana;Swae Lee",2017-07-14,233901,87,true,,2023-08-10T06:13:19Z,"","Bad Boy Entertainment/Epic Records",0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4
spotify:track:3gE4eQH3K83Sght0ZLvuBK,"MIA","X 100PRE","Bad Bunny;Drake",2018-12-23,210367,80,false,,2023-08-10T06:12:43Z,"reggaeton,trap latino,latin,urbano latino,rap","Rimas Entertainment LLC",0.816,0.538,6,-6.354,0,0.0617,0.0142,0.000485,0.099,0.156,97.055,4
spotify:track:2GCKWEsbb0Xo1oodTOKVi1,"Heartbreaker","Journals","Justin Bieber",2014-05-13,262840,68,false,,2023-08-10T06:07:10Z,"","RBMG/Def Jam",0.568,0.517,6,-7.316,0,0.0894,0.146,0,0.343,0.578,104.441,4
spotify:track:5ybZcAwqUF7i9gwABLeXzs,"2 Grown (feat. The Kid LAROI)","222","Lil Tjay;The Kid LAROI",2023-07-14,232091,65,true,,2023-08-10T06:06:48Z,"brooklyn drill,melodic rap","Columbia",0.674,0.365,11,-10.912,1,0.0778,0.582,0,0.236,0.417,96.995,4
spotify:track:7GNKDhpJtw7G7nodKz4NOH,"Best Friend (feat. Tory Lanez)","International Artist","A Boogie Wit da Hoodie;Tory Lanez",2018-06-20,260496,46,true,,2023-06-18T17:16:40Z,"melodic rap","Highbridge the Label / Atlantic Records",0.839,0.525,9,-7.446,0,0.35,0.211,0.000153,0.0701,0.541,149.863,4
spotify:track:6TSO4hwz9WGrEUY7ABGVim,"Lost Me","Give Or Take","GIVĒON",2022-06-24,180953,74,false,,2023-06-04T07:40:41Z,"r&b","Epic",0.428,0.443,2,-8.955,0,0.101,0.525,0.0000176,0.219,0.2,87.934,4
spotify:track:6koKhrBBcExADvWuOgceNZ,"Open Arms (feat. Travis Scott)","SOS","SZA;Travis Scott",2022-12-08,239613,78,false,,2023-06-01T21:59:28Z,"r&b,rap","Top Dawg Entertainment/RCA Records",0.434,0.586,9,-7.612,1,0.138,0.753,0.0144,0.146,0.239,78.259,4
spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,"Trance (with Travis Scott & Young Thug)","HEROES & VILLAINS","Metro Boomin;Travis Scott;Young Thug",2022-12-02,194786,82,true,,2023-06-01T21:54:10Z,"rap,trap,melodic rap","Republic Records",0.765,0.552,1,-7.524,0,0.309,0.175,0,0.193,0.492,119.476,4
